Fips,Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
13000,Georgia,29572,29885,30486,31511,33002,34410,35548,35761,34330,34343,36366,37449
13001,Appling,20126,19796,20959,21972,23133,23569,24579,25568,25501,26080,27484,29220
13003,Atkinson,18623,17824,18280,19151,19803,19401,19904,21372,20175,20645,21931,24538
13005,Bacon,21003,19957,20753,21720,22228,22077,23031,24721,23937,24184,25468,27038
13007,Baker,22429,23560,24321,24107,26524,26576,29324,31736,30374,32414,37863,44618
13009,Baldwin,22563,23305,23804,23918,24647,25408,25807,26565,26483,26845,28329,27996
13011,Banks,24259,23820,24570,26728,27924,27461,29564,29969,28552,27725,28316,29874
13013,Barrow,25246,24825,24968,25937,26758,27831,28575,29423,29083,29140,31203,32089
13015,Bartow,26969,26856,27222,27454,27992,29012,29753,29003,27566,27276,28181,29100
13017,Ben Hill,22391,22833,22834,24151,25350,25511,25912,25993,25299,25587,28038,29510
13019,Berrien,22378,22394,23680,23970,24949,25397,26780,27487,26159,26564,28199,30526
13021,Bibb,28836,30648,30664,31371,32339,33724,34658,35399,34000,34303,35692,36577
13023,Bleckley,24050,24945,25722,25845,27233,27754,27872,28008,27543,28429,29533,30572
13025,Brantley,18819,19275,19393,20122,20455,21251,21859,22670,22629,22354,23118,23973
13027,Brooks,21700,21709,23633,23753,25423,25701,27642,29806,29266,29847,33841,36891
13029,Bryan,27586,28249,30194,31720,33834,36506,38248,38930,38457,38464,40745,41124
13031,Bulloch,20399,20626,21509,21850,22656,23289,24442,25435,24906,24884,25304,26512
13033,Burke,18674,19055,20076,20461,21424,22574,23570,25421,25938,27031,28973,30924
13035,Butts,23669,23067,23552,23954,24633,25161,26284,25904,25356,24674,25466,26207
13037,Calhoun,19015,20031,19710,19573,19916,19407,20645,22923,21269,21662,23509,26979
13039,Camden,22862,23764,25253,25331,26884,28750,29321,30602,30096,30830,32833,33317
13043,Candler,20588,20064,21253,22554,23319,23685,24410,25332,24800,24571,25311,27556
13045,Carroll,22797,23272,23588,24627,25746,27214,28079,28416,27811,27841,28888,30028
13047,Catoosa,24107,24351,24924,25307,26390,27610,28366,28908,28147,28741,29882,31016
13049,Charlton,15747,16175,16115,16881,17404,17654,18718,18611,18346,18290,18693,19314
13051,Chatham,29284,29980,31492,33067,34924,37319,39194,40087,38393,39172,41436,41804
13053,Chattahoochee,18754,17721,22522,23067,27622,33785,34913,38169,39436,43454,39807,38705
13055,Chattooga,19352,19852,19958,20823,21039,21821,22341,22382,22461,22998,23568,24194
13057,Cherokee,32694,31546,31657,32312,34219,35675,36557,36476,34996,34906,37239,38417
13059,Clarke,22073,22865,23821,23482,24457,25261,25782,25961,25193,25086,25937,26573
13061,Clay,22421,25192,25896,25544,25812,25743,26601,28371,28405,29365,30027,32409
13063,Clayton,22593,22949,23477,23776,24607,25043,25888,25657,25592,25724,26809,27417
13065,Clinch,17196,18204,18300,18976,19372,20855,21970,22586,23381,23934,26342,26704
13067,Cobb,38093,37975,39151,40456,43016,44982,47036,46790,44043,44001,45934,47108
13069,Coffee,20981,21476,21794,22559,23340,23084,23830,24803,24091,23963,25024,26162
13071,Colquitt,20823,20717,21693,22541,24108,24338,25472,26948,26762,26463,27942,29290
13073,Columbia,31254,31528,33301,34096,35434,37386,39040,40600,40427,41328,43928,45126
13075,Cook,19317,19541,20375,20722,21560,22113,22906,24024,24296,24094,25608,27222
13077,Coweta,27933,27805,28317,28851,29642,30458,32230,32677,32195,32139,34473,35281
13079,Crawford,21458,21712,23135,24091,25636,26451,27683,28859,29141,30007,33023,34057
13081,Crisp,20619,20977,22011,22496,23524,24057,24691,25314,24940,25253,27441,28768
13083,Dade,21642,21925,22522,22969,24234,25131,25640,26774,25539,26007,27140,28495
13085,Dawson,28621,29267,29284,30973,31818,32993,33982,34508,32101,31387,33176,34574
13087,Decatur,21959,22497,23264,23850,25602,25475,26491,27528,27182,27915,30703,32349
13089,DeKalb,34615,34774,35224,36126,37765,39315,40554,40623,38964,38592,41292,42154
13091,Dodge,19231,19648,20035,20178,20929,21584,22631,23154,22472,23013,24695,25432
13093,Dooly,19819,19046,19997,19102,20002,19349,19458,21807,19863,19389,21074,25033
13095,Dougherty,24019,24821,25681,26438,26695,27159,28182,28038,27428,27680,29337,29986
13097,Douglas,27169,26921,27000,27088,27658,28480,29426,29600,29014,28651,30181,30875
13099,Early,23336,23740,25495,26144,27568,28723,29484,32556,31310,32623,35281,39841
13101,Echols,17416,18466,18525,18685,20360,20989,21451,22962,23406,23349,24886,25352
13103,Effingham,23852,23180,24165,25682,27467,29286,30941,32269,32046,32312,34209,34696
13105,Elbert,22318,22392,22696,23931,24944,25509,27241,28152,28038,27639,28441,30099
13107,Emanuel,20416,21220,22197,22842,23209,23881,24412,25618,25492,25499,26650,27455
13109,Evans,21169,21118,21569,22959,23873,24609,26646,27564,27265,27368,27677,29533
13111,Fannin,22205,22197,22675,23977,25003,26001,27747,28384,27644,27335,29157,30723
13113,Fayette,38599,38813,39748,40519,41565,43011,47120,45819,43726,43119,46080,47406
13115,Floyd,25372,26156,27009,28473,28860,30119,31416,32169,31533,32195,33322,34230
13117,Forsyth,35545,33169,32608,33816,35507,37712,39834,39919,37981,38711,41985,43601
13119,Franklin,23809,23168,23679,25577,25706,24870,27152,28711,27538,27641,28529,31394
13121,Fulton,48278,50571,50678,54040,57579,60736,61153,59512,54061,52621,56061,57537
13123,Gilmer,22065,22445,23117,24820,25807,25938,27906,28753,27942,26891,27348,29151
13125,Glascock,21375,21230,22111,22613,21786,21319,21104,21785,21349,21651,22802,23854
13127,Glynn,29889,30574,31878,34405,35829,37710,38487,38384,35559,35242,37672,38693
13129,Gordon,23494,23281,23872,24883,25408,25628,26228,26747,25838,25650,27092,28656
13131,Grady,21963,22494,22621,23440,25158,25446,26059,27098,26861,26945,29473,30764
13133,Greene,24307,24216,25754,27578,29616,31311,33843,38350,38373,39449,44001,45786
13135,Gwinnett,32238,31330,31539,31846,33081,34224,34505,33890,32010,31894,33528,34162
13137,Habersham,23776,23856,24347,25223,25852,25550,27218,28157,26884,26555,27540,28324
13139,Hall,25777,25902,26471,27510,29871,31255,31603,31612,30311,30504,32288,32789
13141,Hancock,14544,15747,16178,17201,17738,18112,18415,19310,20478,19494,21271,22237
13143,Haralson,22424,22781,23393,24670,25723,27335,28928,29173,28032,27705,28938,30076
13145,Harris,31611,32489,33841,34913,36502,38401,39555,42504,42654,44143,47948,49479
13147,Hart,22198,21381,21605,23186,23551,23569,25513,26842,25472,25944,26498,28303
13149,Heard,19512,19687,19884,21576,21880,22655,24560,26866,26615,26336,27362,28221
13151,Henry,28547,27647,27456,27288,27653,28881,30098,29979,29699,28958,30806,31509
13153,Houston,27191,28404,29515,29616,31115,32471,33574,34745,34564,35205,36519,37042
13155,Irwin,21041,22017,22355,22425,23527,22543,24666,26448,25597,26821,29544,34065
13157,Jackson,25135,24610,25500,26905,28091,28414,29446,29832,29258,29340,30953,32298
13159,Jasper,24380,23463,23685,24799,25884,27019,28748,29627,28964,29041,29211,30293
13161,Jeff Davis,21213,20647,21395,21669,22039,22946,23806,23800,22695,23930,24852,26469
13163,Jefferson,19889,20139,20890,21794,22224,22963,23605,25347,25236,25595,27346,28880
13165,Jenkins,18926,18688,19756,19984,21391,22025,23006,23674,23369,23826,25686,25143
13167,Johnson,18085,16969,17809,18157,18232,18784,18748,19390,19496,19725,20805,21467
13169,Jones,23968,24322,24750,26312,27633,29402,31061,31740,32046,33192,34993,35592
13171,Lamar,23001,23818,24562,25604,25591,26848,27637,27361,26575,26331,27378,28522
13173,Lanier,19820,20491,20847,21530,21991,22453,22919,24035,23324,24475,25302,26667
13175,Laurens,22967,23525,24277,25566,26394,27785,29036,30046,29253,29271,30657,31241
13177,Lee,25015,25670,26807,27939,30200,31679,33064,36591,37862,39603,42803,43950
13179,Liberty,19269,20006,23163,23547,24406,25869,26770,28837,27554,29900,29711,30111
13181,Lincoln,21204,21515,22775,24065,25135,25840,26559,27216,27443,28333,29181,30021
13183,Long,16640,17002,18490,18199,19066,19501,20155,21676,21307,20728,21361,21155
13185,Lowndes,23248,24322,25449,26315,27135,27943,29268,30656,30330,30688,32163,32527
13187,Lumpkin,22579,22326,22487,24112,25263,26181,27151,27690,26664,26472,28154,28702
13189,McDuffie,24529,24802,25573,27552,28442,29274,30137,30102,29561,29782,31306,31740
13191,McIntosh,18316,18685,19269,20029,20458,21136,21612,22203,21585,22004,22949,23910
13193,Macon,19243,18434,18895,19872,20457,18939,20138,22540,21044,20795,22524,24882
13195,Madison,25244,25238,25705,27350,27981,28363,29333,30107,29341,29197,30018,31506
13197,Marion,21350,21177,21970,23003,24454,23703,24694,26754,25587,24903,26866,28585
13199,Meriwether,20617,20719,21708,22559,23236,23812,25315,25822,25563,26790,28665,30111
13201,Miller,23203,24698,25989,27223,28715,28919,28916,32255,30652,30938,34535,39470
13205,Mitchell,19285,19398,20203,21343,23017,23151,23752,25846,25670,25624,27676,31013
13207,Monroe,25687,25761,26284,28352,30424,31909,33346,36405,37201,38355,41487,42284
13209,Montgomery,19458,20181,20662,21059,21765,22558,23484,24732,24742,25418,26366,27433
13211,Morgan,28638,28533,29106,31525,32160,33508,35507,36712,34785,34482,37517,39204
13213,Murray,20565,21111,21658,22778,23765,24183,25101,25387,24417,24867,25616,26320
13215,Muscogee,27745,29085,31014,31952,34155,35753,37805,38424,37237,37537,39664,40391
13217,Newton,24149,23526,23255,23155,23612,24180,24615,25072,24348,24548,25792,26347
13219,Oconee,31699,32218,33679,36631,40906,44246,46664,49825,50934,51823,55534,57083
13221,Oglethorpe,23905,22997,23900,25706,27408,27085,29125,31617,30263,30262,31319,34324
13223,Paulding,25101,24417,24309,25371,27173,29162,31269,32765,33125,34349,37250,38081
13225,Peach,23177,23516,23986,24843,25924,26756,28240,29103,28979,29354,31415,31797
13227,Pickens,28796,28883,28889,31337,32896,34332,36170,36018,34624,34662,36038,38143
13229,Pierce,21866,21891,23104,23095,23635,24361,25526,27196,27462,27733,29273,30538
13231,Pike,24667,25023,25377,26307,27337,28434,29383,29739,30036,29244,31641,32501
13233,Polk,20197,20781,21383,22435,22833,24164,25459,26019,25510,25606,26776,27893
13235,Pulaski,24274,24211,25939,25159,25471,25817,26145,26712,25216,25266,27002,27450
13237,Putnam,25076,25947,26572,28531,30107,32115,33765,33530,32265,31723,33128,33888
13239,Quitman,20128,22291,23644,24334,24318,23918,24977,25152,25591,25685,26450,26903
13241,Rabun,24553,23678,24627,27084,29108,29963,30531,30706,29815,29569,31128,31994
13243,Randolph,19082,20610,21396,21437,21723,22348,23188,27576,26432,26791,28941,32515
13245,Richmond,23605,25088,26145,27066,28071,28780,29704,29682,30113,30122,31746,32122
13247,Rockdale,29284,29563,30048,30401,31130,32231,33017,32737,31969,31129,32327,33122
13249,Schley,19980,20252,20830,21800,21747,21883,22034,24428,22536,20357,20758,22303
13251,Screven,19015,19482,20872,21361,22053,23308,24738,26703,26242,27631,29865,32391
13253,Seminole,24344,24364,25413,24950,26504,27228,28528,31589,30914,32397,35414,37805
13255,Spalding,24167,24565,24826,25947,26739,27673,28506,28188,27398,27458,28891,29712
13257,Stephens,23839,23865,23877,24809,25410,26896,28622,29968,29891,29904,31460,32056
13259,Stewart,20080,20342,20215,20303,20689,20712,21680,23082,22057,21693,22845,23449
13261,Sumter,21663,22072,22910,24079,24956,25843,26383,27470,27065,27252,29451,30914
13263,Talbot,19674,20096,21346,21596,22242,22601,23673,23944,24761,25600,27423,29177
13265,Taliaferro,18198,17779,19829,20740,21450,21501,23531,26029,26889,27093,28309,29857
13267,Tattnall,19448,19003,20239,21092,22301,22202,24160,25562,24153,23868,24361,26095
13269,Taylor,20389,20187,20986,21042,21408,21681,23309,24945,25033,24942,26852,28505
13271,Telfair,18365,18397,16942,16615,16861,16716,16556,16405,16338,16112,17284,17922
13273,Terrell,21032,22326,23018,23229,24446,24697,27292,29702,28678,29725,32631,35203
13275,Thomas,25833,26375,27335,29233,30589,32124,33784,33505,33150,33700,36245,37910
13277,Tift,23380,23883,24929,25858,26978,27698,28508,29234,28955,29770,31464,33149
13279,Toombs,21991,22393,23331,24653,25215,26997,28344,29464,30101,30489,31952,32931
