X,Y,School ID,System ID,School Name,System,County,Address,City,zip,phone,Locale,Charter
-83.757431,32.87756,1205,611,CARTER ELEMENTARY SCHOOL,BIBB COUNTY,BIBB COUNTY,5910 ZEBULON RD,MACON,31210,4784715440,Rural: Fringe,No
-81.10553,31.977451,4058,625,HESSE SCHOOL,CHATHAM COUNTY,CHATHAM COUNTY,9116 WHITFIELD AVE,SAVANNAH,31406,9123956440,Suburb: Midsize,No
-84.138252,34.10688,2140,658,LAMBERT HIGH SCHOOL,FORSYTH COUNTY,FORSYTH COUNTY,805 NICHOLS RD,SUWANEE,30024,6789655050,Suburb: Large,No
-84.938889,34.368565,3010,608,ADAIRSVILLE MIDDLE SCHOOL,BARTOW COUNTY,BARTOW COUNTY,116 N FRANKLIN ST,ADAIRSVILLE,30103,7706062030,Rural: Fringe,No
-84.939644,34.370216,1770,608,ADAIRSVILLE ELEMENTARY SCHOOL,BARTOW COUNTY,BARTOW COUNTY,122 KING ST,ADAIRSVILLE,30103,7706065840,Town: Fringe,No
-84.308556,34.060696,6020,660,FULTON SCIENCE ACADEMY,FULTON COUNTY,FULTON COUNTY,1675 HEMBREE RD,ALPHARETTA,30004,7707534141,Rural: Fringe,Yes
-83.525444,34.562126,1060,668,9TH GRADE ACADEMY,HABERSHAM COUNTY,HABERSHAM COUNTY,3115 DEMOREST MOUNT AIRY HWY,DEMOREST,30535,7067780830,Rural: Fringe,No
-84.047569,33.44643,3070,675,OLA HIGH SCHOOL,HENRY COUNTY,HENRY COUNTY,357 N OLA RD,MCDONOUGH,30252,7702883222,Rural: Fringe,No
-84.972549,34.773178,3010,772,CITY PARK SCHOOL,DALTON CITY,WHITFIELD COUNTY,405 SCHOOL ST,DALTON,30720,7062788859,City: Small,No
-84.654327,34.057644,3020,633,ACWORTH INTERMEDIATE SCHOOL,COBB COUNTY,COBB COUNTY,4220 CANTRELL RD NW,ACWORTH,30101,7709756600,Suburb: Large,No
-84.680557,34.06469,1070,633,MCCALL PRIMARY SCHOOL,COBB COUNTY,COBB COUNTY,4496 DIXIE AVE,ACWORTH,30101,7709756775,Suburb: Large,No
-84.913322,34.340569,1050,608,ADAIRSVILLE HIGH SCHOOL,BARTOW COUNTY,BARTOW COUNTY,519 OLD HIGHWAY 41 NW,ADAIRSVILLE,30103,7706064151,Rural: Fringe,No
-84.197136,34.054783,1010,660,ABBOTTS HILL ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,5575 ABBOTTS BRIDGE RD,DULUTH,30097,7706672860,Suburb: Large,No
-84.561661,34.11623,1760,628,ETOWAH HIGH SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,6565 PUTNAM FORD DR,WOODSTOCK,30189,7709264411,Suburb: Large,No
-84.85392,32.527351,1898,891,AARON COHN REGIONAL YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,MUSCOGEE COUNTY,7700 CHATTSWORTH RD,MIDLAND,31820,7065682498,Rural: Fringe,No
-84.277351,33.23801,1050,726,ANNE STREET ELEMENTARY SCHOOL,SPALDING COUNTY,SPALDING COUNTY,802 ANNE ST,GRIFFIN,30224,7702293746,Suburb: Large,No
-82.005569,33.474777,4060,721,ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,RICHMOND COUNTY,RICHMOND COUNTY,910 RUSSELL ST,AUGUSTA,30904,7067377152,City: Midsize,No
-84.75869,34.823502,1980,705,ETON ELEMENTARY SCHOOL,MURRAY COUNTY,MURRAY COUNTY,P.O. BOX 302,ETON,30724,7066953207,Rural: Fringe,No
-83.557732,30.78495,1120,614,ACADEMIC ENHANCEMENT PROGRAM,BROOKS COUNTY,BROOKS COUNTY,P O BOX 511,QUITMAN,31643,2292637531,Rural: Fringe,No
-83.777801,31.955481,2970,640,A. S. CLARK ELEMENTARY SCHOOL,CRISP COUNTY,CRISP COUNTY,PO BOX 729,CORDELE,31010,2292763425,Rural: Fringe,No
,,6410,880,COASTAL ACADEMY PSYCHOEDUCATIONAL PROGRAM,FIRST DISTRICT RESA,GLYNN COUNTY,#2 ROSS ROAD,BRUNSWICK,31520,9125540153,Suburb: Small,No
,,1940,732,TATTNALL COUNTY HIGH SCHOOL,TATTNALL COUNTY,TATTNALL COUNTY,#1 BATTLE CREEK WARRIOR BLVD.,REIDSVILLE,30453,9125574374,Rural: Distant,No
-84.144218,33.383099,2090,675,BETHLEHEM ELEMENTARY SCHOOL,HENRY COUNTY,HENRY COUNTY,1000 ACADEMIC PARKWAY,LOCUST GROVE,30248,7702888571,Rural: Fringe,No
-84.76358,34.283039,1140,608,NEW CASS HIGH SCHOOL,BARTOW COUNTY,BARTOW COUNTY,1000 COLONEL WAY NE,WHITE,30184,7706065800,Rural: Distant,No
-83.787659,33.950527,2980,607,YARGO ELEMENTARY SCHOOL,BARROW COUNTY,BARROW COUNTY,1000 HAYMON MORRIS RD,WINDER,30680,7708671147,Rural: Fringe,No
-81.580276,31.866396,1890,689,JOSEPH MARTIN ELEMENTARY SCHOOL,LIBERTY COUNTY,LIBERTY COUNTY,1000 JOSEPH MARTIN RD,HINESVILLE,31313,9123683114,City: Small,No
-84.238548,31.244444,2820,701,MITCHELL COUNTY HIGH SCHOOL,MITCHELL COUNTY,MITCHELL COUNTY,1000 NEWTON RD,CAMILLA,31730,2293360970,Rural: Fringe,No
-84.01017,33.906467,1980,667,ALTON C. CREWS MIDDLE SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,1000 OLD SNELLVILLE HWY,LAWRENCEVILLE,30044,7709826940,Suburb: Large,No
-82.216827,33.459408,2080,636,CEDAR RIDGE ELEMENTARY SCHOOL,COLUMBIA COUNTY,COLUMBIA COUNTY,1000 TRUDEAU TRAIL,GROVETOWN,30813,7064472100,Rural: Fringe,No
-83.899399,32.568214,6001,711,NEW PROGRAM,PEACH COUNTY,PEACH COUNTY,1000 TULIP DR,FORT VALLEY,31030,4788257409,Rural: Fringe,No
-85.153679,34.287746,1930,785,ROME HIGH SCHOOL,ROME CITY,FLOYD COUNTY,1000 VETERANS MEMORIAL HWY NE,ROME,30161,7062359653,Rural: Fringe,No
-81.961044,33.462727,1010,721,CRAIG-HOUGHTON ELEMENTARY SCHOOL,RICHMOND COUNTY,RICHMOND COUNTY,1001 4TH ST,AUGUSTA,30901,7068236946,City: Midsize,No
-84.786568,34.776379,1900,705,MURRAY COUNTY HIGH SCHOOL,MURRAY COUNTY,MURRAY COUNTY,1001 GREEN RD,CHATSWORTH,30705,7066951414,Town: Fringe,No
-81.490051,31.148251,4752,663,GLYNN ACADEMY,GLYNN COUNTY,GLYNN COUNTY,1001 MANSFIELD ST,BRUNSWICK,31520,9122674210,City: Small,No
-82.426712,32.226688,2730,793,VIDALIA COMPREHENSIVE HIGH SCHOOL,VIDALIA CITY,TOOMBS COUNTY,1001 NORTH ST W,VIDALIA,30474,9125377931,Rural: Fringe,No
-81.137138,31.99118,1160,625,PULASKI ELEMENTARY SCHOOL,CHATHAM COUNTY,CHATHAM COUNTY,1001 TIBET AVENUE,SAVANNAH,31419,9123956466,City: Midsize,No
-82.048241,33.51767,2574,721,WESTSIDE HIGH SCHOOL,RICHMOND COUNTY,RICHMOND COUNTY,1002 PATRIOTS WAY,AUGUSTA,30907,7068684030,City: Midsize,No
-83.18367,33.56374,4010,666,GREENE COUNTY HIGH SCHOOL,GREENE COUNTY,GREENE COUNTY,1002 S MAIN ST,GREENSBORO,30642,7064532271,Rural: Fringe,No
-84.92572,33.920589,1040,710,LILLIAN C. POOLE ELEMENTARY SCHOOL,PAULDING COUNTY,PAULDING COUNTY,1002 WAYSIDE LN,DALLAS,30132,7705055541,Rural: Fringe,No
-83.968979,30.82494,5050,789,JERGER ELEMENTARY SCHOOL,THOMASVILLE CITY,THOMAS COUNTY,1006 S BROAD ST,THOMASVILLE,31792,2292252625,Town: Distant,No
-83.78804,33.950573,1060,607,HAYMON-MORRIS MIDDLE SCHOOL,BARROW COUNTY,BARROW COUNTY,1008 HAYMON MORRIS RD,WINDER,30680,6789630602,Rural: Fringe,No
-81.116196,32.047283,2010,625,DERENNE MIDDLE SCHOOL,CHATHAM COUNTY,CHATHAM COUNTY,1009 CLINCH ST,SAVANNAH,31405,9123955900,City: Midsize,No
-84.18573,33.60812,3970,675,AUSTIN ROAD MIDDLE SCHOOL,HENRY COUNTY,HENRY COUNTY,100 AUSTIN RD,STOCKBRIDGE,30281,7705075407,Rural: Fringe,No
-84.955467,34.770729,1050,772,BLUE RIDGE SCHOOL,DALTON CITY,WHITFIELD COUNTY,100 BOGLE ST,DALTON,30721,7062602700,City: Small,No
-81.077263,32.06435,2068,625,SPENCER ELEMENTARY SCHOOL,CHATHAM COUNTY,CHATHAM COUNTY,100 BOUHAN AVE,SAVANNAH,31404,9123952500,City: Midsize,No
-84.468979,33.444733,2960,656,SPRING HILL ELEMENTARY SCHOOL,FAYETTE COUNTY,FAYETTE COUNTY,100 BRADFORD SQ,FAYETTEVILLE,30215,7704603432,Suburb: Large,No
-84.180397,33.046436,1990,685,LAMAR COUNTY MIDDLE SCHOOL,LAMAR COUNTY,LAMAR COUNTY,100 BURNETTE RD,BARNESVILLE,30204,7703588652,Town: Distant,No
-81.598816,31.837303,1050,689,JORDYE BACON ELEMENTARY SCHOOL,LIBERTY COUNTY,LIBERTY COUNTY,100 DEEN ST,HINESVILLE,31313,9128763959,City: Small,No
-83.588394,34.119713,1010,779,JEFFERSON MIDDLE SCHOOL,JEFFERSON CITY,JACKSON COUNTY,100 DRAGON DR,JEFFERSON,30549,7063672882,Rural: Distant,No
-83.887863,33.835827,1760,747,BAY CREEK ELEMENTARY SCHOOL,WALTON COUNTY,WALTON COUNTY,100 HOMER MOON RD,LOGANVILLE,30052,7704662271,Suburb: Large,No
-85.184296,34.219246,1730,657,MCHENRY PRIMARY,FLOYD COUNTY,FLOYD COUNTY,100 MCHENRY DR SW,ROME,30161,7062361833,Suburb: Small,No
-83.973938,30.842087,3052,789,SCOTT ELEMENTARY SCHOOL,THOMASVILLE CITY,THOMAS COUNTY,100 N HANSELL ST,THOMASVILLE,31792,2292252631,Town: Distant,No
-83.261818,33.085804,6104,605,BALDWIN CHILD & FAMILY DEVELOPMENT CENTER,BALDWIN COUNTY,BALDWIN COUNTY,100 NORTH ABC STREET,MILLEDGEVILLE,31061,4784572469,Rural: Fringe,No
-85.253494,34.014549,1880,715,NORTHSIDE ELEMENTARY,POLK COUNTY,POLK COUNTY,100 N PHILPOT ST,CEDARTOWN,30125,7707484932,Town: Distant,No
-81.995361,33.080479,1040,617,BLAKENEY ELEMENTARY,BURKE COUNTY,BURKE COUNTY,100 OLYMPIC DR,WAYNESBORO,30830,7065542265,Rural: Fringe,No
-81.602654,31.850506,1050,689,BRADWELL INSTITUTE,LIBERTY COUNTY,LIBERTY COUNTY,100 PAFFORD ST,HINESVILLE,31313,9128766121,City: Small,No
-81.064583,31.98011,3060,625,ISLE OF HOPE SCHOOL,CHATHAM COUNTY,CHATHAM COUNTY,100 PARKERSBURG RD,SAVANNAH,31406,9123956555,Suburb: Midsize,No
