license_state,license_status,license_number,licensee_name_business,establishment_address_full
Georgia,Inactive,6901,"""CLUB 23""",10451 GA HIGHWAY 23 GLENNVILLE GA 30427-5746
Georgia,Active,32477,JAUMEN CORPORATION,5455 GA HIGHWAY 122 PAVO GA 31778-6920
Georgia,Active,68090,NICK'S,1011 WHITE OAK RD THOMSON GA 30824-3909
Georgia,Inactive,65722,BRITO FOOD MART INC,3020 BUFORD HWY NE ATLANTA GA 30329-1804
Georgia,Active,63915,"WILLE RAES, SIMPATICO",25 N PARK SQ NE MARIETTA GA 30060-1972
Georgia,Active,69563,"WILLIE RAES, SIMPATICO",ATHERTON SQUARE DEPOT STREET MARIETTA GA 30060
Georgia,Active,58123,HALEY FOOD MART,713 S SLAPPEY BLVD ALBANY GA 31701-2613
Georgia,Active,60031,SPEEDY FOOD,1200 S HOUSTON LAKE RD WARNER ROBINS GA 31088
Georgia,Active,58955,RAJINDER KAUR,2452 US HIGHWAY 280 W CORDELE GA 31015-9337
Georgia,Active,19790,NEIGHBORHOOD FOOD & BEVERAGE,1250 MISSION RIDGE RD ROSSVILLE GA 30741-6401
Georgia,Active,8159,NORTHSIDE BOTTLE SHOP,1004 THOMPSON BRIDGE RD GAINESVILLE GA 30501-1704
Georgia,Active,34978,EL AZTECA MEXICAN REST #15,939 PONCE DE LEON AVE NE ATLANTA GA 30306-4211
Georgia,Active,4452,SAVANNAH 7-11,1300 E DE RENNE AVE SAVANNAH GA 31406-2017
Georgia,Active,20616,FAST CHECK FOODS,1204 WARD ST E DOUGLAS GA 31533-1100
Georgia,Active,52645,SANDBAR ATHENS,220 COLLEGE AVE STE 101 ATHENS GA 30601-2755
Georgia,Active,23376,D&D FOODMARKET,8845 GA HIGHWAY 208 WAVERLY HALL GA 31831-3531
Georgia,Active,41861,ALLGOOD LOUNGE,256 E CLAYTON ST ATHENS GA 30601-2705
Georgia,Inactive,64399,BP OLD NATIONAL,6103 OLD NATIONAL HWY COLLEGE PARK GA 30349-4327
Georgia,Active,64447,BP OLD NATIONAL,6103 OLD NATIONAL HWY COLLEGE PARK GA 30349-4327
Georgia,Active,254,BP REDAN,4794 REDAN RD STONE MOUNTAIN GA 30088-2721
Georgia,Active,43944,PROVISION,2297 HIGHWAY 20 E MCDONOUGH GA 30252-2669
Georgia,Active,47736,HILTON GARDEN INN,1500 BRADLEY LAKE BLVD COLUMBUS GA 31904-3656
Georgia,Active,5437,MARJACS,1426 W HILL AVE VALDOSTA GA 31601-5207
Georgia,Inactive,44665,#7 VIETNAMESE RESTAURANT,3240 SHALLOWFORD RD NE CHAMBLEE GA 30341-3663
Georgia,Active,52653,'CUE BARBEQUE,1370 BUFORD HWY STE 101 CUMMING GA 30041-2723
Georgia,Inactive,48618,1 PACKAGE,1860 SANDY PLAINS RD STE 306 MARIETTA GA 30066-7836
Georgia,Inactive,65829,1 STUNNAS MOTORSPORTS COMMUNITY INC,1242 COLUMBIA DR DECATUR GA 30032-2850
Georgia,Inactive,68363,1 STUNNAS MOTORSPORTS COMMUNITY INC,1242 COLUMBIA DR DECATUR GA 30032-2850
Georgia,Active,63017,10,990 PIEDMONT AVE NE ATLANTA GA 30309-4109
Georgia,Inactive,24583,10 TO 11 PACKAGE STORE,3964 BUFORD HWY NE ATLANTA GA 30345-1647
Georgia,Inactive,53179,100 BLACK MEN OF ATLANTA INC,1215 PIEDMONT AVE NE ATLANTA GA 30309-3704
Georgia,Inactive,59715,100 BLACK MEN OF SAVANNAH INC,JEPSON CENTER FOR THE ARTS 207 W YORK ST SAVANNAH GA 31401-3636
Georgia,Inactive,57358,100 BLACK MEN OF SOUTHEAST GEORGIA INC,2401 KNIGHT AVE WAYCROSS EXCHANGE CLUB WAYCROSS GA 31501
Georgia,Active,64559,100 PROOF,364 E BROAD ST ATHENS GA 30601-2819
Georgia,Active,68026,1001 NIGHTS PERSIAN CUISINE,10305 MEDLOCK BRIDGE RD STE C-8 JOHNS CREEK GA 30097-2002
Georgia,Inactive,58231,1010 INTERNATIONAL,4409 W 25TH PL LAWRENCE KS 66047-9673
Georgia,Active,2883,103 WEST,103 W PACES FERRY RD NW ATLANTA GA 30305-1303
Georgia,Inactive,63648,106 POOL HALL,100 NOWHERE ROAD STE A ATHENS GA 30601
Georgia,Inactive,62579,BELLA CANTINA INC,BRADFORD CLUB AT BRASSTOWN MANOR 108 CHURCH STREET HAIWASSEE GA 30546
Georgia,Inactive,44622,10TH ANNIVERSARY CELEBRATION,1244 PARK VISTA DR NE ATLANTA GA 30319-5372
Georgia,Active,45913,BELLA CANTINA INC,355 N MAIN ST HIAWASSEE GA 30546
Georgia,Active,16030,SHELL FOOD MART,133 JOHNSON FERRY RD MARIETTA GA 30068-4923
Georgia,Inactive,55484,117 LLC,1352 MAIN ST SAINT HELENA CA 94574-1905
Georgia,Active,53404,119 CHOPS,30 W MAIN ST # 9 STATESBORO GA 30458-5366
Georgia,Active,63297,12 SPIES VINEYARDS & FARM LLC,550 BLACK BRANCH RD RABUN GAP GA 30568-2809
Georgia,Active,63512,12 SPIES VINEYARDS & FARM LLC,550 BLACK BRANCH RD RABUN GAP GA 30568-2809
Georgia,Active,59984,12 SPIES VINEYARDS & FARM LLC,550 BLACK BRANCH RD RABUN GAP GA 30568-2809
Georgia,Inactive,2628,123 BOTTLE SHOPPE,DICKS HILL PKWY 304 TOWER TERR MT AIRY GA 30563
Georgia,Inactive,47948,123 SPIRITS,220 N FRIES AVE WILMINGTON CA 90744-5718
Georgia,Active,59302,123 SPIRITS,220 N FRIES AVE WILMINGTON CA 90744-5718
Georgia,Inactive,19808,128 PACKAGE STORE,8264 GA HIGHWAY 128 OGLETHORPE GA 31068-3324
Georgia,Inactive,32538,129 LOUNGE,15A S LEROY ST METTER GA 30439-4630
Georgia,Inactive,57132,12TH GA LIGHT ARTILLERY INC,950 FORREST ST ROSWELL GA 30075-4527
Georgia,Inactive,7797,12TH STREET SPIRITS,1441 12TH ST AUGUSTA GA 30901-3613
Georgia,Active,61625,"13 APPELLATIONS, LLC",4006 SILVERADO TRL NAPA CA 94558-1124
Georgia,Inactive,69668,"13 APPELLATIONS, LLC",4006 SILVERADO TRL NAPA CA 94558-1124
Georgia,Active,62672,BELLS FERRY VALERO,6410 BELLS FERRY RD WOODSTOCK GA 30189-8175
Georgia,Active,36227,PAUL'S COUNTRY STORE,7505 OLD AXSON RD DOUGLAS GA 31535-3241
Georgia,Inactive,39876,14TH STREET PLAYHOUSE,173 14TH ST NE ATLANTA GA 30309-3838
Georgia,Inactive,49555,14TH STREET PLAYHOUSE,173 14TH ST NE ATLANTA GA 30309-3838
Georgia,Active,64268,14TH STREET PLAYHOUSE,173 14TH ST NE ATLANTA GA 30309-3838
Georgia,Inactive,47697,15 HOLE PACKAGE STORE,7185 ROCKBRIDGE RD STE C STONE MTN GA 30087-6356
Georgia,Inactive,20953,15 SPEEDWAY LLP,1344 S HARRIS ST SANDERSVILLE GA 31082-6925
Georgia,Active,69597,157 BRASELTON LLC,983 HWY 124 STE A HOSCHTON GA 30548
Georgia,Active,57770,15TH STREET PIZZA,2130 JODECO RD MCDONOUGH GA 30253-5218
Georgia,Active,62811,16 EAST,1309 E 16TH AVE CORDELE GA 31015-5328
Georgia,Active,50938,17 SAKURA JAPANESE RESTAURANT,5730 OGEECHEE RD STE 470 SAVANNAH GA 31405-9522
Georgia,Inactive,44502,1790 INN & RESTAURANT,307 E PRESIDENT ST SAVANNAH GA 31401-3808
Georgia,Active,11003,1790 INN & RESTAURANT,307 E PRESIDENT ST SAVANNAH GA 31401-3808
Georgia,Inactive,52881,17TH STREET ART FAIR,245 18TH ST ATLANTA GA 30363-1119
