X,Y,Name,Description
-82.425209,31.809192,Appling Pre-Release Center,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130019502002013/"">130019502002013</a></div><div>County: Appling County</div><div>2010 Correctional Population: 207</div>"
-82.358399,31.784999,Appling County Sheriff's Dept,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130019502002054/"">130019502002054</a></div><div>County: Appling County</div><div>2010 Correctional Population: 62</div>"
-82.85349,31.295719,Atkinson County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130039602003056/"">130039602003056</a></div><div>County: Atkinson County</div><div>2010 Correctional Population: 11</div>"
-82.468082,31.544205,Bacon County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130059702013053/"">130059702013053</a></div><div>County: Bacon County</div><div>2010 Correctional Population: 48</div>"
-82.452366,31.535537,Bacon Probation Detention Center,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130059702022004/"">130059702022004</a></div><div>County: Bacon County</div><div>2010 Correctional Population: 190</div><div>Comment: &quot;A probation detention center (PDC) is a minimum security facility for confining probationers.&quot;</div>"
-83.400391,33.079859,Men's Correctional State Prison,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130099705003060/"">130099705003060</a></div><div>County: Baldwin County</div><div>2010 Correctional Population: 667</div><div>Comment: Closed December 2010 (after Census)</div>"
-83.22038,33.044235,Bostick State Prison,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130099707022045/"">130099707022045</a></div><div>County: Baldwin County</div><div>2010 Correctional Population: 347</div><div>Comment: Closed May 2010 (after the Census)</div>"
-83.221061,33.024995,Baldwin State Prison,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130099708001021/"">130099708001021</a></div><div>County: Baldwin County</div><div>2010 Correctional Population: 880</div>"
-84.778241,34.191399,Bartow County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130159604023060/"">130159604023060</a></div><div>County: Bartow County</div><div>2010 Correctional Population: 594</div>"
-83.257693,31.698068,Ben Hill County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130179605003040/"">130179605003040</a></div><div>County: Ben Hill County</div><div>2010 Correctional Population: 110</div>"
